epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
11,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,21.386051177978516,,51.5,,,,,,0.6875553131103516,0.09835172444581985,0.7859070301055908,15.012406349182129,19.961559295654297,0.5203418135643005,0.6888614296913147,0.6875553131103516,0.07506109029054642,0.09980789572000504,0.09835172444581985
,0.01,0.01,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4726855754852295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,21.664289474487305,,51.5,,,,,,0.6911910772323608,0.20169149339199066,0.8928825855255127,33.69509506225586,40.88597106933594,0.5311128497123718,0.6914798617362976,0.6911910772323608,0.1684773713350296,0.20443135499954224,0.20169149339199066
,0.01,0.01,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.474411725997925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,21.06183624267578,,52.25,,,,,,0.6730390191078186,0.09944824129343033,0.772487223148346,15.621600151062012,20.553974151611328,0.5071577429771423,0.6740442514419556,0.6730390191078186,0.07810748368501663,0.10276984423398972,0.09944824129343033
,0.01,0.01,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,199,,,,,,,,,,,,,,,,,,,,,,22.22222137451172,,45.0,,0.6871412396430969,0.1200580820441246,0.8071992993354797,0.6871412396430969,0.1200580820441246,,,,,,,,,,,
,,,,,2.4748783111572266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,21.793495178222656,,52.0,,,,,,0.6697123050689697,0.15652915835380554,0.8262414336204529,27.917715072631836,31.41767692565918,0.5074496865272522,0.6704633831977844,0.6697123050689697,0.13958995044231415,0.15708975493907928,0.15652915835380554
,0.01,0.01,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4763550758361816,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,21.06183624267578,,52.25,,,,,,0.6691513657569885,0.18106329441070557,0.8502146601676941,31.201570510864258,36.407997131347656,0.5078371167182922,0.6697785258293152,0.6691513657569885,0.15600699186325073,0.1820393204689026,0.18106329441070557
,0.01,0.01,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.476747751235962,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,21.07252311706543,,52.25,,,,,,0.6666663289070129,0.09869299083948135,0.7653593420982361,15.105396270751953,20.262609481811523,0.5082898736000061,0.667327880859375,0.6666663289070129,0.07552733272314072,0.10131432861089706,0.09869299083948135
,0.01,0.01,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,249,,,,,,,,,,,,,,,,,,,,,,22.22222137451172,,45.0,,0.6368857026100159,0.09231381118297577,0.7291995286941528,0.6368857026100159,0.09231381118297577,,,,,,,,,,,
,,,,,2.477196455001831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,22.804588317871094,,50.25,,,,,,0.664380669593811,0.07788801193237305,0.7422687411308289,11.919560432434082,15.999055862426758,0.502403974533081,0.6654737591743469,0.664380669593811,0.05959800258278847,0.07999473065137863,0.07788801193237305
,0.01,0.01,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.47784423828125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,21.07252311706543,,52.25,,,,,,0.6601620316505432,0.1065090000629425,0.7666710615158081,17.333984375,21.985198974609375,0.4960741400718689,0.661188006401062,0.6601620316505432,0.08667077124118805,0.10992704331874847,0.1065090000629425
,0.01,0.01,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4791483879089355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,21.57693862915039,,51.75,,,,,,0.6566576361656189,0.22489403188228607,0.8815516829490662,40.640045166015625,45.14113235473633,0.5021044611930847,0.6572026610374451,0.6566576361656189,0.20319931209087372,0.22570431232452393,0.22489403188228607
,0.01,0.01,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.480813503265381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,22.56766128540039,,51.25,,,,,,0.659618616104126,0.4205285608768463,1.08014714717865,82.65982818603516,84.16011047363281,0.5014968514442444,0.6605812907218933,0.659618616104126,0.4132981598377228,0.4207993447780609,0.4205285608768463
,0.01,0.01,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,299,,,,,,,,,,,,,,,,,,,,,,22.22222137451172,,45.0,,0.6276998519897461,0.37199318408966064,0.9996930360794067,0.6276998519897461,0.37199318408966064,,,,,,,,,,,
,,,,,2.4808576107025146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,22.399328231811523,,50.5,,,,,,0.6652454733848572,0.17685596644878387,0.8421013951301575,30.322084426879883,35.64097213745117,0.5084667801856995,0.6656202077865601,0.6652454733848572,0.15160906314849854,0.17820321023464203,0.17685596644878387
,0.01,0.01,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4797685146331787,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,21.337146759033203,,51.75,,,,,,0.6598496437072754,0.3498399555683136,1.0096895694732666,62.070457458496094,70.02813720703125,0.4953203797340393,0.6609030961990356,0.6598496437072754,0.3103533089160919,0.35014140605926514,0.3498399555683136
,0.01,0.01,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4808783531188965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,21.243301391601562,,52.25,,,,,,0.6630765199661255,0.13295269012451172,0.796029269695282,20.74565887451172,27.29291534423828,0.49492955207824707,0.6643446683883667,0.6630765199661255,0.10372839868068695,0.13646486401557922,0.13295269012451172
,0.01,0.01,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,349,,,,,,,,,,,,,,,,,,,,,,23.809524536132812,,42.0,,0.6425792574882507,0.19948925077915192,0.8420684933662415,0.6425792574882507,0.19948925077915192,,,,,,,,,,,
,,,,,2.482318639755249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,21.838539123535156,,51.75,,,,,,0.6627082228660583,0.1504681557416916,0.8131763339042664,24.782045364379883,30.329803466796875,0.5089572668075562,0.6632463932037354,0.6627082228660583,0.12390871345996857,0.1516484022140503,0.1504681557416916
,0.01,0.01,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.48148512840271,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,22.62339210510254,,51.0,,,,,,0.6483262777328491,0.21888887882232666,0.8672152161598206,40.401187896728516,43.88579177856445,0.49298131465911865,0.6492176651954651,0.6483262777328491,0.20200687646865845,0.21942965686321259,0.21888887882232666
,0.01,0.01,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4834697246551514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,21.67340660095215,,51.25,,,,,,0.647356390953064,0.18119537830352783,0.8285518288612366,32.146663665771484,36.45808792114258,0.49260014295578003,0.6481507420539856,0.647356390953064,0.16073410212993622,0.18229080736637115,0.18119537830352783
,0.01,0.01,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4829704761505127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,22.571632385253906,,51.0,,,,,,0.6493518352508545,0.10681883245706558,0.7561707496643066,19.443323135375977,21.48680305480957,0.49728304147720337,0.6500339508056641,0.6493518352508545,0.0972171351313591,0.10743452608585358,0.10681883245706558
,0.01,0.01,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,399,,,,,,,,,,,,,,,,,,,,,,83.33333587646484,,12.0,,0.6148790121078491,0.10596969723701477,0.7208486795425415,0.6148790121078491,0.10596969723701477,,,,,,,,,,,
,,,,,2.483370065689087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
