epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
11,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,57.19696807861328,,18.5,,,,,,0.5419741868972778,0.10282650589942932,0.6448007225990295,17.67556381225586,20.655725479125977,0.4137336015701294,0.5426267981529236,0.5419741868972778,0.08837749063968658,0.10327872633934021,0.10282650589942932
,0.01,0.01,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,349,,,,,,,,,,,,,,,,,,,,,,31.25,,32.0,,0.5371456742286682,0.1588558405637741,0.6960015296936035,0.5371456742286682,0.1588558405637741,,,,,,,,,,,
,,,,,2.423511505126953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,53.084415435791016,,19.5,,,,,,0.5294727683067322,0.0981440544128418,0.627616822719574,16.747432708740234,19.702251434326172,0.40195411443710327,0.530107855796814,0.5294727683067322,0.08373599499464035,0.0985102728009224,0.0981440544128418
,0.01,0.01,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4244275093078613,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,55.5402946472168,,18.75,,,,,,0.5201428532600403,0.06891157478094101,0.5890544652938843,11.26291275024414,14.178043365478516,0.39744240045547485,0.5206511616706848,0.5201428532600403,0.05631425604224205,0.07089004665613174,0.06891157478094101
,0.01,0.01,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,399,,,,,,,,,,,,,,,,,,,,,,30.303030014038086,,33.0,,0.5295601487159729,0.08547127991914749,0.6150314211845398,0.5295601487159729,0.08547127991914749,,,,,,,,,,,
,,,,,2.424639940261841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,57.19696807861328,,18.5,,,,,,0.51850825548172,0.11744073033332825,0.6359489560127258,20.56358528137207,23.65654182434082,0.39558666944503784,0.5191478133201599,0.51850825548172,0.10281796008348465,0.11828264594078064,0.11744073033332825
,0.01,0.01,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.426699638366699,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,54.9450569152832,,19.0,,,,,,0.5079934597015381,0.07130428403615952,0.5792977213859558,11.119935989379883,14.593963623046875,0.38801130652427673,0.5084946751594543,0.5079934597015381,0.05559907108545303,0.07297010719776154,0.07130428403615952
,0.01,0.01,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,449,,,,,,,,,,,,,,,,,,,,,,32.25806427001953,,31.0,,0.49598413705825806,0.05179041251540184,0.5477745532989502,0.49598413705825806,0.05179041251540184,,,,,,,,,,,
,,,,,2.4271345138549805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,56.006492614746094,,19.0,,,,,,0.4983365833759308,0.09063583612442017,0.5889723896980286,15.504737854003906,18.26956558227539,0.3829485774040222,0.49874770641326904,0.4983365833759308,0.07752566784620285,0.091349758207798,0.09063583612442017
,0.01,0.01,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,499,,,,,,,,,,,,,,,,,,,,,,30.303030014038086,,33.0,,0.5078495144844055,0.09705810248851776,0.6049076318740845,0.5078495144844055,0.09705810248851776,,,,,,,,,,,
